frame,DetObj#,x,y,z,v,snr,noise
0,0,-0.12307782471179962,1.2107867002487183,-0.4923112988471985,0.0,334,423
0,1,-0.04585251957178116,1.448533296585083,-0.2292625904083252,0.0,165,495
0,2,-0.2316758930683136,1.514777660369873,-1.04254150390625,0.14361357688903809,65,530
0,3,-0.2558088004589081,1.8798030614852905,-0.7674263715744019,0.14361357688903809,92,489
0,4,2.2564265727996826,2.3745481967926025,-0.2051296979188919,0.14361357688903809,60,545
0,5,3.844371795654297,2.445528030395508,0.0,0.14361357688903809,72,494
0,6,3.858851671218872,2.752732038497925,-0.2968347370624542,0.14361357688903809,105,506
0,7,0.2968347370624542,4.102337837219238,-2.374677896499634,0.14361357688903809,105,506
0,8,-0.1484173685312271,1.4792181253433228,-0.5441970229148865,0.28722715377807617,161,569
0,9,-0.27028852701187134,2.012470006942749,-0.7432934641838074,0.28722715377807617,62,522
0,10,0.0,3.4478819370269775,-0.4343923032283783,0.28722715377807617,111,513
0,11,-0.04343923181295395,1.3722947835922241,-0.21719616651535034,0.43084073066711426,424,470
0,12,0.0,1.7761818170547485,0.0,0.43084073066711426,99,531
0,13,-0.24977557361125946,2.5877199172973633,-0.5828096866607666,0.7180678844451904,102,461
0,14,0.0868784636259079,2.756937265396118,-0.3475138545036316,0.7180678844451904,92,482
0,15,-0.6178023815155029,4.6540656089782715,-1.5445059537887573,0.7180678844451904,148,477
0,16,0.45249196887016296,4.745776176452637,-0.7541532516479492,1.0052950382232666,127,459
0,17,0.11101136356592178,3.5069754123687744,-0.5550568103790283,1.2925221920013428,90,449
1,0,-0.22322937846183777,1.2420865297317505,-0.6696881055831909,0.0,246,418
1,1,2.3312387466430664,2.6712019443511963,-0.22202272713184357,0.14361357688903809,98,514
1,2,-0.42232584953308105,1.6177599430084229,-0.9653162360191345,0.28722715377807617,87,496
1,3,-0.48265811800956726,1.600795865058899,0.9653162360191345,0.28722715377807617,87,496
1,4,2.386744260787964,2.2994227409362793,-0.20754298567771912,0.28722715377807617,79,558
1,5,3.733360528945923,2.663212537765503,-0.2871815860271454,0.28722715377807617,93,500
1,6,3.7961061000823975,2.660320997238159,0.5840163230895996,0.28722715377807617,69,503
1,7,3.770766496658325,3.0090620517730713,0.15083065629005432,0.28722715377807617,64,529
1,8,-0.15203730762004852,1.5329904556274414,-0.5067909955978394,0.43084073066711426,148,592
1,9,-0.15203730762004852,1.167820692062378,1.1149402856826782,0.43084073066711426,148,592
1,10,-0.11342465877532959,1.7535027265548706,-0.45369863510131836,0.43084073066711426,93,545
1,11,-0.11342465877532959,1.127135157585144,1.4178082942962646,0.43084073066711426,93,545
1,12,0.0,3.603144645690918,-0.6877878308296204,0.43084073066711426,60,487
1,13,-0.17858350276947021,1.2931900024414062,-0.5803964138031006,0.5744543075561523,399,470
1,14,0.0,1.5929691791534424,-0.30407461524009705,0.7180678844451904,168,541
1,15,-0.12669774889945984,3.9235410690307617,-1.0135819911956787,0.8616814613342285,64,462
1,16,-0.3800932466983795,2.502079963684082,3.1674437522888184,0.8616814613342285,64,462
1,17,-0.0856718122959137,2.6915132999420166,-0.5140308737754822,1.1489086151123047,153,454
1,18,-0.4561119079589844,4.725401401519775,-1.0642611980438232,1.1489086151123047,158,459
1,19,-0.30890119075775146,4.923074722290039,0.30890119075775146,1.4361357688903809,108,450
2,0,-0.09170503914356232,1.316214919090271,-0.6419352889060974,0.0,261,420
2,1,2.3312387466430664,2.6712019443511963,-0.22202272713184357,0.28722715377807617,89,537
2,2,1.8727134466171265,3.2351768016815186,-0.2340891808271408,0.28722715377807617,93,498
